geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
MAN1A1,2.4383711078099295,1.1083193037490189,1.6575024156354037,4.8229022105646795,2.3612067441171436,2.2950604148508416,7.211596248892036,7.190565363161154,7.149182100135855,7.1210771382211435,4.842443783489651,5.021507164980086,2.1719065624026057,1.3144431839649915,2.2568633565405225,4.939877032761987
TREH,1.2147356495378792,0.5092590474339603,1.3369163631057732,2.9010476371644907,1.8721941102185813,1.1159161663293884,4.312449899941517,4.684592261953042,3.417538496908774,3.34270850512978,3.0563947721096474,3.289522887806902,0.5187257725269514,0.4790352510115406,0.8276499577465256,2.971543285584013
MGAM2,0.3059512207913668,0.9799304395738698,0.8392816144117392,5.212696772776419,1.905668751944343,1.8742644870910072,7.009139266675901,7.118323896103183,7.242165419365143,7.138565344754815,5.4255773662150615,5.4890285180027325,-0.11180614067745408,0.3185207164078008,0.6604294704328869,5.277917842815578
ANG,3.0063432150593905,3.4967094666719123,3.3369108919129187,5.185995693091327,3.5872434880701345,3.8360516501927884,5.9784444950032904,5.882610123781636,6.072151068220848,5.889163988331281,5.050180763698014,5.381776321358698,3.020548852396372,3.1789904507767504,3.302699347151992,4.881365033628868
NCMAP,0.27726969539015933,0.6162292250964043,0.3978957625693709,2.9681742159619806,1.1970422378604677,1.7127957052241198,3.6869457206172664,3.814727460185337,3.65020956789669,3.607753371087366,2.7735791655601343,3.1116038987161456,0.7895849631449953,0.6655239983690482,0.345836211611512,3.082130355116678
SEPP1,5.112829506664868,5.026890941518942,4.82868369415171,7.7425976891344765,5.852906688918111,5.4960887357626165,8.882690109681525,8.894433564716369,8.984450014253627,8.939328132385926,7.561558527417331,7.907013770106171,5.140912832807295,4.89453679586523,5.17642190296557,7.64231433867609
CREB3L1,0.7436934025171452,1.115427417234899,1.3756592074530558,4.93294128595652,2.399230997499256,1.5060232434498027,6.593007430969906,6.459613759776771,6.547263902275652,6.549215327880637,5.2050542284520445,5.613799918141828,1.1462194849538503,1.7576747283765077,0.8910930462381619,4.880621811872381
TSPAN8,3.0990530919449615,3.373598038762111,2.750637089898921,6.653696452011301,4.003083490372514,3.4752199232227965,7.534733955615249,7.602216097551402,7.434881570594047,7.5541978712161395,6.7665819668991185,6.723114035183005,3.337856830903482,3.2561371871270164,2.7167977040367353,6.60545803016089
CEACAM5,6.179764408415315,5.734465234682764,6.136283625477665,10.316254176686773,6.375622307300983,6.327687207675708,11.588523490086438,11.558776053174112,11.721475412193833,11.640217402879461,10.29637552672031,10.27508229483147,6.328103978607618,5.792153561648359,5.424546843051614,10.253647586399971
PKIB,3.044972951432878,3.4515778208381027,2.4690793972707774,4.994422477401324,3.8536412508816964,2.9921772092411154,5.8123464756196075,5.733419970263744,5.674746857170803,5.706775478428498,5.333331587600469,5.266551350113133,2.781099213360717,3.0738457268874506,2.569834078712781,5.264985060900043
FAM3B,0.16794916225640927,1.3678689656746357,1.69120211008262,3.124101386221823,1.9615013620891049,2.278493974625002,4.186672285970276,4.563716783630119,4.480448376842478,4.102228974191164,3.8284417056786135,3.4852338081142222,2.183489013544824,2.0101235296480326,0.7542422586428883,3.3992656632820912
CP,-2.5820770160246824,0.46713805980554457,1.0592784836258176,5.3745086911799715,1.7131187910007173,1.1549753113682368,5.197790817641409,5.544368899924428,5.839154551956639,5.1566894590523384,4.871403738597001,4.9225701575978515,0.8712858167139365,0.8612621357536474,0.5774510117731114,4.591202320505634
SLC10A5,-2.5820770160246824,-1.0012673670096714,-0.26556462413222703,2.6106841201844735,1.107901637044042,-0.239032731850438,3.3890062095875892,3.5558652332408682,3.4276971280549695,3.5983752530694733,2.425181406036968,1.0323425271976807,0.8775796434117511,-1.0012736525259576,-0.2749557072093728,2.9316727727890175
CFH,3.6583678290641397,4.940933292384136,5.600033532052859,6.972531294891206,5.887451628115122,4.720969262452338,8.111348511369778,7.273865789997293,8.11265416912876,7.917172072830201,7.479508557357155,7.05258609939602,5.103947449920447,3.415176784318212,3.7431743927289967,7.484123624063439
TRIM2,-2.580383795594609,-2.571029224391754,1.4795105947855522,2.186705316163068,-2.578376221573511,0.6399025100654331,3.614964092089433,2.2431757481147407,3.273334458952557,2.660912381201629,2.976995939254813,3.9892434404314163,1.29661318994166,1.6712385854089695,2.4694572270436184,2.7543025275312885
APOBR,-1.0135347429116792,-0.2631681619523892,0.21872489646151086,3.9537403860623086,-0.9237232627411079,-0.9744199976010302,2.6321958389902576,2.075675042624776,2.441267243795831,2.4366549451775246,3.342043964755161,3.617598014553438,0.5884959644739554,1.6551484586832994,2.042881044941183,3.4736823133238333
GUSBP2,0.35522667161011895,-2.571029224391754,-2.571676829539731,0.4940880838294511,-2.583319024334372,-2.5515343368065357,2.1188292639166217,1.7368257330985497,2.0175468518164243,-0.2688271445993502,1.3917792142798526,1.2234141373523824,0.8617601908130119,1.609496752604244,-0.5992414579171516,0.8075209788123323
SGPP2,4.933146385349797,4.808819545196227,5.1309961718012085,6.994032813336053,3.2202891172921637,3.496725468619505,6.446785776890027,6.655080874124982,6.543727756587077,6.699438487487059,7.1478267793275405,6.870118760909476,5.0478492749284465,4.9839805925354375,4.821314905730503,7.10132338481421
HNF4A,4.424058480366087,4.116112138103577,4.3915558250391,6.4872888694923665,2.488408644048496,2.605535507874078,5.9904569699531445,5.759811539332559,6.2261608072500465,6.076937971743607,6.421498080613014,6.37500142546231,4.209217987691749,3.93757805343431,4.306385940958255,6.310334348008616
C6orf222,3.733381714088885,3.5962474612084,3.8516999726557457,5.760170451776056,2.4513880665806362,2.295062267051123,5.613176924275739,5.602216076063221,5.433458781470575,5.528809926130133,5.846988602165754,5.803840523340714,4.286779086350043,4.006148448305495,3.9981751872013405,5.807089674791504
APOBEC1,4.118821127218684,3.816693772477625,3.4663479428951836,5.852094558672554,1.9648414253977173,2.04257122911067,5.706790428276178,5.640259187216674,5.78727416851694,5.660371502986922,5.4722357507416906,5.500253222457076,3.884112465746994,3.795202805793967,3.410814892177361,5.598476610734269
PKDCC,2.6756817613812482,2.5505885137620465,2.024959351396527,3.818404409656285,-0.27673757612630095,-0.41662253621770085,4.835187963237796,4.0044857590212795,4.128085833119697,4.372238669323548,5.112832328376931,4.604304564897011,1.649197342516012,2.016322044748126,1.9096127140883954,4.367637313528419
VIL1,7.763036522600269,7.633670003405564,7.470294668179149,9.303758322993973,6.632745101180144,6.602020138917695,9.54461448442309,9.50710640641701,9.63932404558396,9.547446569881766,9.2831277765379,9.270906361861558,7.625653845904199,7.680945113580402,7.897162059777384,9.343725207220556
SPRR3,4.656927653901417,4.602813966397107,4.401709978505873,6.00768711542861,3.0561942123212233,3.269673706587702,6.579564575134067,6.614650570708687,6.358917942614926,6.635309260310767,6.100302474415979,6.1926822886860124,4.456675084646111,4.513368658981753,4.756017555355342,6.028118268346061
CIDEC,3.1107775375118507,3.0823498120157065,3.086503348081727,5.478171676457651,1.7741513315948472,0.965511761327687,5.912346053237252,5.8558241356711855,5.8373069917036045,5.4439935916623945,5.865842258139074,5.551993060507396,2.73338207963275,3.002852155444228,3.3186530687230036,5.489735511442663
HIST1H2AC,4.5610549603620365,4.416420999337762,4.115574215445837,5.9633116333151,3.4723279293959273,2.3048433510176043,6.332991454530876,6.319252059233029,6.114485396783633,6.241129611276178,5.9072310935913634,5.971565981382687,4.317749856926505,3.9759575356312653,3.8734150457671266,5.857191921819348
MT1G,0.548336826848976,-0.7340644090711766,0.4303968799623532,2.2674501248958148,-2.583319024334372,-2.5515343368065357,2.7988287094137796,3.460761337231653,2.76867080243724,2.916620258356886,2.590913457560666,3.1023997336637104,-2.562877865368158,1.6370335427876341,-0.1841355746050769,2.504971214500607
MAP2K6,3.809997029294009,1.8634820159730319,3.6458216462668895,5.249520903470976,2.2605924885354653,0.07969192140023029,5.284737194013294,4.880035665987009,5.301183745969102,4.1452230502386955,5.010739843670312,4.385995259589432,2.6731560218103767,3.9181404922438365,3.118799742976225,5.200735265140544
IRF8,4.000499736101694,2.8557864285320003,3.72836402765378,5.301865913300197,0.9858055649931788,0.4477408724750989,4.4444980820061595,4.532961951682912,5.249139337541666,4.340761335822844,4.390860815247355,4.830808340533717,1.8414125041764267,2.0486645732675908,3.2697390816299046,4.852396082908545
HIST1H4H,1.5849550538899975,-0.4344721568748014,2.4119576441668817,3.085425714516877,-1.3160388559325435,-0.40641748526567173,1.8982282625774678,4.128250881297703,3.0744829985991413,1.9298873780569519,3.696415350414405,3.292366554474502,2.0701073459894133,1.847243264065871,1.3214404875367978,3.268843079591238
CCDC129,2.106465042191256,0.1809904780917348,0.8317691792980859,2.1316418170778673,-0.8822960507247909,-1.5406323434082396,0.8790984522296172,3.3495312519924623,2.1977453771519886,3.2248556048323684,3.88110093997636,3.8415112035286434,1.3440359431703992,2.0460283355724713,0.5336512231107392,3.1238588565327388
CCT8P1,0.833397840164985,0.8346245815501062,-0.052042701766487336,1.8132412755375906,-2.583319024334372,-0.7755146903138235,2.8662078411308163,1.8006042212531763,2.2325553602242945,1.2798019951235173,1.9848552099481453,2.1339159818555764,1.149606948397932,-0.05810559210517961,-0.03432864271982587,1.5777164942409667
ARHGAP6,0.9047290477507891,0.2360081404986143,-0.45461280494680445,2.0113429721115534,-2.583319024334372,-0.4283097967283495,2.729284440746711,2.013427641592775,1.60322189259549,2.0342521141830217,2.574338565765082,1.4521750700035316,0.9274024899949987,-0.4563660835985984,0.3589200648506158,2.2400388675560334
SERPINA4,1.657371537351583,1.5097397245885553,1.3314396354186846,4.120386334144101,-2.583319024334372,0.25921371354626455,2.331332869902077,2.861863682649818,2.823310618525001,2.570527025791353,3.921911995476682,3.814885761863882,0.8918870641753321,1.32913376085942,1.806529185142078,3.5666283040318514
TM4SF4,-2.5820770160246824,-2.571029224391754,-0.6088177837644624,2.7465321936433447,-2.583319024334372,-2.5515343368065357,1.6775806191622882,2.627600325614198,2.896861404290127,1.9553831631168173,3.5730291323567873,3.0034718464098287,-2.562877865368158,-2.5708184426808587,0.6956168937981602,3.859042974715825
EVL,-1.3589394305796256,-2.571029224391754,0.3208453169713096,1.5597468942534158,-2.583319024334372,-2.5515343368065357,0.35654503753580946,1.4837348889479915,1.1617512919601969,1.3565505404521263,1.5119428288686945,0.8579957016927412,-2.003704221917452,-2.5708184426808587,-0.7625105626468155,1.0287092791387715
MUC3A,3.5615418318398855,3.06853674055733,4.154943746493759,5.135288206418585,2.282858677649713,2.6248968360357012,5.662473092866263,5.429435408990327,5.310624922446948,5.256368898526814,4.724240478585889,4.9285275006535105,2.292781265053311,3.0684274318586517,3.5663260726068966,5.213963962507695
KRT4,-0.44415580811763045,-0.2340417250859535,1.8809737847978003,3.011672035881965,-1.1407407341027964,-0.9465932367296557,3.625042006665611,3.4630982861633046,3.5575618023449387,3.3121593913817104,2.73675950968149,1.4636103149577446,-0.4220092805242828,0.2523853126732166,1.5261715546767407,2.728043206543297
WNT5B,1.1898609422704436,-2.571029224391754,0.9812553490665096,3.0430479929625514,0.17957129647480163,-0.31926635753660565,3.7066392239602823,3.9867900013676296,3.173040232586436,4.118694109441456,2.886306132921736,2.41326087702556,0.3902615040780187,0.9790120364246734,1.9081707182907826,3.187074210826234
MYO1A,2.4420787572415454,1.3712668423027328,0.55701015677707,5.4024809337587625,2.323707600877513,1.4011080345763052,6.534200805474533,6.497077159696925,6.732235378511,6.5135591836770415,5.804846962954965,6.3938212259651594,2.324299012161162,3.71077708890231,2.469586398190126,5.611413607508732
HEPH,-2.5820770160246824,-2.571029224391754,-2.571676829539731,5.729462151014618,-2.583319024334372,-2.5515343368065357,5.5513509186540535,5.536569895048401,5.992659546751813,5.547555126196669,5.290574339350388,5.216556941190517,-0.5199721445761769,0.7139813392277822,1.8786377322117478,5.047746036579501
MT1F,0.7065853347932399,1.1529982879622311,1.06006024782753,3.5790964784164063,1.311004734989351,0.18192192811659497,4.260078329110096,4.078722678464099,4.227593180159228,4.051605371317975,3.3668870142000396,3.147160624697531,1.4899415004949106,1.4623607163356798,1.8596970832373356,3.6319853109600797
HIST1H3E,1.4200795559859838,1.227795756120622,1.7593262624754937,3.845368975415567,1.4658875192116885,0.8615599114765183,4.637371050528099,4.071949579216669,4.328828412685329,4.149331155232279,3.8622737271924894,3.515876458020315,2.7307711462775934,2.2558927700993276,2.088632412278104,4.668814455808522
MEIS1,5.16431207179557,4.7010464973531025,4.5895309575349374,6.535601217413263,4.714996700644162,3.7115099744011495,6.747744094309908,6.777997176990572,6.915141202965017,6.787169508804116,5.742978399646739,6.855407652263377,4.50124247855926,4.654325848934594,4.373484479585767,6.163651618097402
DEPTOR,0.9909506137065267,1.0036824383566834,1.0058446881916343,4.37157809146251,0.7562499976284519,-2.5515343368065357,5.024553814308577,5.173259423171639,4.837154476138921,4.785145199822588,3.740799678500004,4.2258403823208255,1.9518753609091708,0.24201419525912604,1.933837026393186,3.4830299680020484
CDH6,-2.5820770160246824,-0.4171733621076963,-0.22083247163689412,4.424112528258464,0.6274424765939441,-1.4423649564279148,4.446143269830238,4.7978142337306835,5.1830099910722085,5.336540824939247,4.26105090227552,4.7622432602874945,0.6381693133982037,-2.5708184426808587,1.0845138317763516,4.597509182208073
BIN2,2.015405970729333,1.6081418924434172,2.223697716674537,3.625259551980907,1.883089654219735,1.2150127440965444,3.9206089844698178,4.179866447110867,4.328979304277021,4.208698807628494,4.087004178463983,3.2497814964906264,2.038260239746726,1.185180987878826,3.1915692746240265,3.7403101923584012
RAB40B,2.126689459582886,2.5193473934993387,3.4507795373819836,4.393005596178324,2.4281163838919055,2.2360573087102003,4.4187118472106395,4.868784723442508,5.467081296399574,5.129507929721727,5.376258700633076,5.468689823693626,3.466451177726016,2.104072668549176,2.7651624909620485,3.854969717698979
PDZD3,2.0584787691702213,-0.8693302683621722,-0.9186697670587299,4.322297439397744,-0.9867176559256504,1.3425008043856037,4.114073783100439,3.9519847146716227,4.231077869269081,4.536257253714722,3.9162767237028104,3.2341752870808507,1.6580943493167681,0.9025673547892132,0.5809488347857532,3.3947592048699264
CDHR5,1.6293917819280623,0.9764589742710952,1.6444269967628575,3.833288332660027,-0.21813279480785527,1.6721463370052254,3.1767262817890396,3.1373439168083865,3.548453512282704,4.408918006242313,4.510339720043188,4.106015617726653,2.9284278295771773,0.9763729054067399,1.4062583057525504,3.6750754747681285
ZDHHC11B,1.1512521381458463,0.418553166146248,0.32218639007250244,1.950972119759273,0.43899833727453225,1.2500800164305987,2.4605450956657364,2.4478295516900586,3.1846549758651923,2.9649547506494343,3.185539696027979,3.9009821381134406,0.8866914136878229,-0.04168904902043858,1.9397628908459406,3.371498089680756
C1orf21,3.210483313570685,2.1071639108690676,2.5864654157661997,4.458358787983688,2.0883437880217666,2.517810517652757,5.14945646854508,4.977687668170506,5.06993488634564,5.080329711714909,4.485607651772225,5.142363584607171,2.8956335105267574,2.441746437946731,4.095246360812933,5.284752854203312
FFAR4,0.39342497040506147,-1.045503356836837,-0.2382191499711975,3.2198819838021713,0.05537098889260194,-0.24325476372365143,3.4867739995707296,3.352104434442617,3.57042856740963,3.408584044140886,2.990889520768882,3.5205558023745915,0.4159531054353483,-2.5708184426808587,0.39829070565515884,3.430019810684987
CA12,1.6433973035591671,1.6561847918143373,0.44507233595530515,4.9534060906076816,0.910590232948523,2.09503936736194,5.22710206393345,5.109733231573129,5.15174459065392,5.038760557545269,4.72760803687352,4.774589721641798,1.7470682179116728,-0.745787553812407,1.6482116761703223,4.629659267259122
CD84,0.18045568333090503,-0.24451169573422693,-2.571676829539731,0.7591455410912971,-2.583319024334372,-0.9720225357348008,0.5440914851253071,0.8836197263514182,2.2981681966106633,1.186832207932047,1.2051113667605355,1.3739736004342884,-2.562877865368158,-0.22441270806911032,0.8743731402624483,0.43766820979506676
TTLL6,-2.5820770160246824,-1.2443542794805578,-0.8819226408746317,3.178603241228286,1.1059483290442569,-2.5515343368065357,1.9639389328965533,3.1983197654955426,1.1486762380174724,1.5185172166351402,2.597286091268974,2.49326499520379,1.144654052958337,0.52333253247663,-0.21958107329106927,1.7872643630016578
LPIN2,-2.5820770160246824,2.7414794416100183,-2.571676829539731,3.6870140976764096,1.3901887537573157,-2.5515343368065357,3.098374981057242,3.4747317703580953,3.4832843194416685,3.0785780653330814,3.5420557099358705,2.993697860805476,3.527584002805227,1.4238846191392471,2.0521561048312185,3.8537049607854397
